fips,medloan,jobsretained,zpop,n_loan,med_cap,jobs_cap,loan_cap
1,100589217.7,9636,3238456,1203,31.060856,297.54919,37.147331
2,24929060.46,1727,479963,244,51.939545,359.8194,50.837254
4,150518602,17096,4372368,1673,34.424961,391.00095,38.26302
5,66958328.9,4950,2006572,721,33.369511,246.68938,35.931927
6,1151706484,106393,32070100,15764,35.912159,331.75137,49.154819
8,176927327.9,13172,3893045,2092,45.447029,338.34698,53.736855
9,109893393.9,8343,2981878,1120,36.853752,279.79013,37.560223
10,33381836.84,2147,707751,199,47.166077,303.35529,28.117233
11,22132494.27,1324,566768,260,39.050358,233.60529,45.874149
12,501237435.7,38174,14322522,5580,34.996452,266.53128,38.959618
13,245519390.5,20878,6881928,2606,35.675961,303.3743,37.867294
15,55533766.1,3910,1090304,609,50.934204,358.61557,55.85598
16,52110189.15,4979,1123426,660,46.385067,443.19788,58.748863
17,316207600.9,28638,10884602,4081,29.050911,263.10562,37.493332
18,173069338.8,13977,5132487,1699,33.720367,272.32413,33.102859
19,85451713.49,6513,2116358,745,40.376778,307.74567,35.201984
20,91020013.5,6614,2109911,871,43.139267,313.47293,41.281361
21,77449936.29,7647,3086027,1066,25.096973,247.79433,34.542797
22,104521749.1,9434,3532776,1403,29.586294,267.04211,39.71381
23,44290400.63,2923,804464,348,55.05579,363.34753,43.258617
24,174988446.3,13512,4752335,1869,36.821571,284.32339,39.328037
25,277229011.4,18199,5829825,2425,47.553574,312.17059,41.596447
26,284349647.2,23872,8356664,2757,34.026695,285.66425,32.991634
27,189979245.8,13674,4114861,1356,46.169056,332.30771,32.953724
28,49290363.11,4784,2105677,730,23.408321,227.19534,34.668186
29,137657566.8,10685,4181902,1459,32.917454,255.50575,34.888432
30,32399265.42,2894,678161,402,47.775181,426.74231,59.277958
31,59563091.85,5014,1306922,679,45.575092,383.64954,51.954132
32,66983099.79,7145,1825679,748,36.689419,391.36124,40.971058
33,55676838.52,2816,962689,431,57.834709,292.51398,44.770428
34,264288486.2,20405,7616059,3235,34.701477,267.92072,42.476036
35,43438242.02,3485,1360908,484,31.918573,256.07904,35.564491
36,492350082.7,40619,17038014,6004,28.897152,238.40219,35.23885
37,281835597.6,20801,6839384,2512,41.207745,304.13559,36.728455
38,27348124.51,2030,431461,219,63.38493,470.49445,50.757774
39,294975118.1,23992,9170348,2922,32.166187,261.62585,31.863567
40,92534162.33,8103,2654693,1099,34.856823,305.23303,41.398384
41,131007336.6,8183,3036176,1310,43.148796,269.51666,43.146378
42,311814015.6,22986,10098583,3278,30.877007,227.61609,32.459999
44,27733907.06,1971,978226,271,28.351227,201.48718,27.703209
45,115167833.7,10088,3368509,1258,34.189556,299.47968,37.345901
46,29416808,2369,500966,258,58.720169,472.88638,51.5005
47,164293910.7,13085,4805337,1733,34.189884,272.30139,36.064068
48,653581170.6,65566,18328221,8053,35.659824,357.73248,43.937706
49,86492974.6,15957,2080630,1305,41.570568,766.93115,62.721386
50,21208255.84,1368,384175,186,55.204674,356.08771,48.415436
51,242106499.4,15354,5933961,2395,40.800152,258.74789,40.360897
53,287783507.7,17344,5351581,2651,53.775417,324.09116,49.536762
54,34575750.56,3053,1128218,381,30.646338,270.60373,33.770069
55,179582158.9,13169,4346405,1286,41.317402,302.98602,29.587671
56,15456859.97,1429,420425,191,36.764847,339.89417,45.430218
